Education,Percentage,Favorite_Subject,Programming_Skill,Communication,Problem_Solving,Interest,Work_Style,Career
Diploma CSE,81,SQL,Good,Excellent,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,81,Networking,Excellent,Good,Excellent,Networking,Remote,Network Engineer
Diploma CSE,88,Cyber Security,Good,Excellent,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,82,Cloud Computing,Good,Excellent,Good,Cloud,Hybrid,Cloud Engineer
Diploma CSE,87,Testing,Good,Good,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,88,Cloud Computing,Good,Excellent,Good,Cloud,Hybrid,Cloud Engineer
Diploma CSE,82,Java,Excellent,Good,Excellent,Software Development,Remote,Software Engineer
Diploma CSE,94,Cyber Security,Excellent,Good,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,86,SQL,Good,Good,Excellent,Database,Remote,Database Administrator
Diploma CSE,91,UI UX,Good,Good,Good,Design,Office,UI UX Designer
Diploma CSE,83,Cloud Computing,Good,Excellent,Good,Cloud,Office,Cloud Engineer
Diploma CSE,85,UI UX,Good,Excellent,Average,Design,Hybrid,UI UX Designer
Diploma CSE,81,Java,Excellent,Excellent,Good,Software Development,Hybrid,Software Engineer
Diploma CSE,80,SQL,Good,Excellent,Excellent,Database,Remote,Database Administrator
Diploma CSE,73,Testing,Good,Average,Good,Software Testing,Office,QA Engineer
Diploma CSE,83,Cyber Security,Good,Excellent,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,83,Testing,Excellent,Excellent,Excellent,Software Testing,Hybrid,QA Engineer
Diploma CSE,89,HTML CSS JS,Good,Good,Good,Web Development,Remote,Web Developer
Diploma CSE,95,Cyber Security,Excellent,Excellent,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,78,Java,Good,Good,Excellent,Software Development,Remote,Software Engineer
Diploma CSE,77,Cloud Computing,Good,Average,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,76,Cloud Computing,Good,Average,Excellent,Cloud,Office,Cloud Engineer
Diploma CSE,86,Cyber Security,Excellent,Excellent,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,80,Java,Good,Good,Good,Software Development,Remote,Software Engineer
Diploma CSE,90,HTML CSS JS,Good,Good,Good,Web Development,Remote,Web Developer
Diploma CSE,87,Java,Good,Good,Excellent,Software Development,Office,Software Engineer
Diploma CSE,79,Cyber Security,Good,Good,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,93,Java,Good,Excellent,Excellent,Software Development,Office,Software Engineer
Diploma CSE,74,Networking,Good,Good,Good,Networking,Remote,Network Engineer
Diploma CSE,88,Cyber Security,Good,Good,Good,Security,Office,Cyber Security Analyst
Diploma CSE,89,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,92,Python,Excellent,Good,Excellent,Data Science,Office,Data Analyst
Diploma CSE,75,Networking,Excellent,Good,Excellent,Networking,Remote,Network Engineer
Diploma CSE,90,Java,Excellent,Good,Good,Software Development,Office,Software Engineer
Diploma CSE,83,Cloud Computing,Good,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,91,Java,Excellent,Good,Excellent,Software Development,Office,Software Engineer
Diploma CSE,88,SQL,Good,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,78,HTML CSS JS,Excellent,Average,Good,Web Development,Remote,Web Developer
Diploma CSE,93,SQL,Excellent,Excellent,Good,Database,Office,Database Administrator
Diploma CSE,88,Python,Excellent,Good,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,88,HTML CSS JS,Excellent,Excellent,Good,Web Development,Remote,Web Developer
Diploma CSE,88,UI UX,Good,Good,Average,Design,Hybrid,UI UX Designer
Diploma CSE,83,HTML CSS JS,Excellent,Good,Good,Web Development,Remote,Web Developer
Diploma CSE,82,Networking,Good,Excellent,Excellent,Networking,Office,Network Engineer
Diploma CSE,94,Python,Excellent,Good,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,74,Testing,Excellent,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,88,HTML CSS JS,Good,Excellent,Good,Web Development,Hybrid,Web Developer
Diploma CSE,78,SQL,Good,Average,Excellent,Database,Remote,Database Administrator
Diploma CSE,84,Java,Excellent,Excellent,Good,Software Development,Remote,Software Engineer
Diploma CSE,88,Networking,Excellent,Excellent,Excellent,Networking,Remote,Network Engineer
Diploma CSE,80,HTML CSS JS,Good,Excellent,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,93,Networking,Good,Excellent,Excellent,Networking,Office,Network Engineer
Diploma CSE,92,SQL,Good,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,85,HTML CSS JS,Excellent,Excellent,Good,Web Development,Hybrid,Web Developer
Diploma CSE,83,HTML CSS JS,Good,Good,Good,Web Development,Office,Web Developer
Diploma CSE,84,Cloud Computing,Excellent,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,75,Cloud Computing,Excellent,Good,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,79,SQL,Good,Average,Excellent,Data Science,Office,Data Analyst
Diploma CSE,90,Networking,Good,Excellent,Excellent,Networking,Office,Network Engineer
Diploma CSE,87,Java,Excellent,Excellent,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,76,Java,Excellent,Good,Good,Software Development,Office,Software Engineer
Diploma CSE,93,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,94,Java,Excellent,Excellent,Good,Software Development,Hybrid,Software Engineer
Diploma CSE,82,Cyber Security,Excellent,Good,Good,Security,Hybrid,Cyber Security Analyst
Diploma CSE,89,Java,Excellent,Excellent,Excellent,Software Development,Hybrid,Software Engineer
Diploma CSE,90,HTML CSS JS,Good,Excellent,Good,Web Development,Office,Web Developer
Diploma CSE,89,Python,Excellent,Good,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,72,UI UX,Good,Good,Average,Design,Hybrid,UI UX Designer
Diploma CSE,85,HTML CSS JS,Excellent,Excellent,Good,Web Development,Remote,Web Developer
Diploma CSE,80,Cloud Computing,Good,Good,Good,Cloud,Office,Cloud Engineer
Diploma CSE,73,Networking,Good,Good,Good,Networking,Hybrid,Network Engineer
Diploma CSE,87,Testing,Excellent,Excellent,Good,Software Testing,Remote,QA Engineer
Diploma CSE,95,Java,Excellent,Good,Good,Software Development,Remote,Software Engineer
Diploma CSE,79,SQL,Good,Good,Excellent,Database,Office,Database Administrator
Diploma CSE,86,SQL,Good,Good,Excellent,Data Science,Office,Data Analyst
Diploma CSE,91,Python,Excellent,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,73,Testing,Excellent,Average,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,88,Python,Excellent,Excellent,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,76,Python,Good,Good,Good,Data Science,Hybrid,Data Analyst
Diploma CSE,84,Networking,Excellent,Excellent,Good,Networking,Remote,Network Engineer
Diploma CSE,86,Testing,Good,Excellent,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,95,SQL,Excellent,Excellent,Excellent,Data Science,Office,Data Analyst
Diploma CSE,73,UI UX,Good,Average,Average,Design,Office,UI UX Designer
Diploma CSE,79,UI UX,Good,Average,Good,Design,Remote,UI UX Designer
Diploma CSE,88,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Remote,Web Developer
Diploma CSE,75,UI UX,Good,Good,Good,Design,Hybrid,UI UX Designer
Diploma CSE,86,SQL,Good,Excellent,Good,Database,Office,Database Administrator
Diploma CSE,81,SQL,Good,Good,Excellent,Database,Remote,Database Administrator
Diploma CSE,73,SQL,Good,Good,Good,Database,Office,Database Administrator
Diploma CSE,84,SQL,Excellent,Excellent,Good,Database,Office,Database Administrator
Diploma CSE,77,Testing,Good,Average,Good,Software Testing,Remote,QA Engineer
Diploma CSE,98,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,80,HTML CSS JS,Excellent,Excellent,Good,Web Development,Hybrid,Web Developer
Diploma CSE,90,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,96,Cloud Computing,Good,Excellent,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,79,Testing,Good,Average,Good,Software Testing,Office,QA Engineer
Diploma CSE,90,Cyber Security,Good,Good,Excellent,Security,Hybrid,Cyber Security Analyst
Diploma CSE,94,SQL,Good,Good,Excellent,Data Science,Office,Data Analyst
Diploma CSE,87,Cloud Computing,Good,Excellent,Good,Cloud,Office,Cloud Engineer
Diploma CSE,89,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,81,Java,Excellent,Good,Excellent,Software Development,Office,Software Engineer
Diploma CSE,81,Java,Good,Excellent,Excellent,Software Development,Office,Software Engineer
Diploma CSE,81,HTML CSS JS,Excellent,Excellent,Excellent,Web Development,Office,Web Developer
Diploma CSE,83,Java,Excellent,Good,Good,Software Development,Office,Software Engineer
Diploma CSE,98,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,89,SQL,Good,Excellent,Good,Data Science,Remote,Data Analyst
Diploma CSE,86,HTML CSS JS,Good,Excellent,Good,Web Development,Hybrid,Web Developer
Diploma CSE,93,SQL,Good,Excellent,Excellent,Database,Remote,Database Administrator
Diploma CSE,89,SQL,Good,Good,Good,Data Science,Remote,Data Analyst
Diploma CSE,84,Cloud Computing,Excellent,Good,Good,Cloud,Office,Cloud Engineer
Diploma CSE,73,Testing,Good,Average,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,95,Cyber Security,Excellent,Good,Good,Security,Office,Cyber Security Analyst
Diploma CSE,85,SQL,Excellent,Excellent,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,78,Testing,Excellent,Average,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,74,Cyber Security,Excellent,Good,Good,Security,Remote,Cyber Security Analyst
Diploma CSE,83,Python,Good,Excellent,Excellent,Data Science,Office,Data Analyst
Diploma CSE,79,Cyber Security,Excellent,Good,Excellent,Security,Office,Cyber Security Analyst
Diploma CSE,72,SQL,Good,Good,Excellent,Database,Remote,Database Administrator
Diploma CSE,80,Python,Excellent,Excellent,Excellent,Data Science,Hybrid,Data Analyst
Diploma CSE,91,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,70,UI UX,Good,Average,Good,Design,Remote,UI UX Designer
Diploma CSE,92,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,85,Testing,Good,Good,Good,Software Testing,Remote,QA Engineer
Diploma CSE,94,SQL,Excellent,Good,Excellent,Data Science,Office,Data Analyst
Diploma CSE,83,SQL,Good,Good,Excellent,Database,Office,Database Administrator
Diploma CSE,83,UI UX,Good,Good,Good,Design,Office,UI UX Designer
Diploma CSE,94,Networking,Good,Good,Excellent,Networking,Hybrid,Network Engineer
Diploma CSE,95,Python,Excellent,Excellent,Good,Data Science,Remote,Data Analyst
Diploma CSE,87,Testing,Excellent,Excellent,Good,Software Testing,Hybrid,QA Engineer
Diploma CSE,93,SQL,Excellent,Excellent,Excellent,Data Science,Office,Data Analyst
Diploma CSE,70,HTML CSS JS,Good,Good,Good,Web Development,Office,Web Developer
Diploma CSE,76,SQL,Good,Good,Good,Database,Hybrid,Database Administrator
Diploma CSE,95,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,81,Python,Excellent,Good,Good,Data Science,Office,Data Analyst
Diploma CSE,90,Python,Excellent,Good,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,79,Testing,Excellent,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,86,Python,Excellent,Excellent,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,98,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,80,Python,Excellent,Good,Good,Data Science,Remote,Data Analyst
Diploma CSE,81,SQL,Excellent,Excellent,Excellent,Database,Remote,Database Administrator
Diploma CSE,94,Cloud Computing,Excellent,Excellent,Good,Cloud,Office,Cloud Engineer
Diploma CSE,70,HTML CSS JS,Excellent,Good,Excellent,Web Development,Hybrid,Web Developer
Diploma CSE,87,Testing,Good,Good,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,75,SQL,Excellent,Average,Good,Database,Remote,Database Administrator
Diploma CSE,76,Cloud Computing,Excellent,Good,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,79,Testing,Excellent,Good,Excellent,Software Testing,Office,QA Engineer
Diploma CSE,92,SQL,Good,Excellent,Excellent,Data Science,Office,Data Analyst
Diploma CSE,93,Cloud Computing,Good,Excellent,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,79,Java,Good,Average,Good,Software Development,Office,Software Engineer
Diploma CSE,73,SQL,Excellent,Good,Good,Database,Office,Database Administrator
Diploma CSE,81,Networking,Excellent,Excellent,Good,Networking,Office,Network Engineer
Diploma CSE,78,Cloud Computing,Excellent,Average,Excellent,Cloud,Remote,Cloud Engineer
Diploma CSE,85,Cloud Computing,Good,Good,Excellent,Cloud,Hybrid,Cloud Engineer
Diploma CSE,78,Testing,Excellent,Good,Excellent,Software Testing,Hybrid,QA Engineer
Diploma CSE,94,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,80,SQL,Good,Excellent,Excellent,Data Science,Remote,Data Analyst
Diploma CSE,88,UI UX,Good,Excellent,Average,Design,Remote,UI UX Designer
Diploma CSE,80,Python,Excellent,Good,Good,Data Science,Office,Data Analyst
Diploma CSE,91,Networking,Excellent,Good,Excellent,Networking,Remote,Network Engineer
Diploma CSE,98,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Remote,Machine Learning Engineer
Diploma CSE,97,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Hybrid,Machine Learning Engineer
Diploma CSE,94,Python,Excellent,Good,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,75,Testing,Excellent,Good,Good,Software Testing,Office,QA Engineer
Diploma CSE,71,UI UX,Good,Good,Average,Design,Hybrid,UI UX Designer
Diploma CSE,89,Networking,Good,Excellent,Good,Networking,Remote,Network Engineer
Diploma CSE,79,UI UX,Good,Average,Average,Design,Office,UI UX Designer
Diploma CSE,84,SQL,Excellent,Excellent,Good,Database,Remote,Database Administrator
Diploma CSE,93,SQL,Excellent,Good,Good,Database,Remote,Database Administrator
Diploma CSE,79,Cyber Security,Excellent,Average,Excellent,Security,Remote,Cyber Security Analyst
Diploma CSE,90,SQL,Excellent,Excellent,Excellent,Database,Remote,Database Administrator
Diploma CSE,83,HTML CSS JS,Excellent,Excellent,Good,Web Development,Remote,Web Developer
Diploma CSE,89,UI UX,Good,Good,Average,Design,Remote,UI UX Designer
Diploma CSE,87,Java,Excellent,Good,Excellent,Software Development,Office,Software Engineer
Diploma CSE,77,SQL,Excellent,Good,Excellent,Data Science,Office,Data Analyst
Diploma CSE,92,SQL,Good,Excellent,Good,Data Science,Office,Data Analyst
Diploma CSE,79,Cyber Security,Excellent,Good,Good,Security,Office,Cyber Security Analyst
Diploma CSE,89,UI UX,Good,Good,Good,Design,Remote,UI UX Designer
Diploma CSE,90,Python,Excellent,Excellent,Excellent,Artificial Intelligence,Office,Machine Learning Engineer
Diploma CSE,79,UI UX,Good,Average,Average,Design,Remote,UI UX Designer
Diploma CSE,91,Cloud Computing,Excellent,Excellent,Good,Cloud,Office,Cloud Engineer
Diploma CSE,80,SQL,Good,Good,Excellent,Database,Hybrid,Database Administrator
Diploma CSE,81,Networking,Good,Good,Excellent,Networking,Office,Network Engineer
Diploma CSE,76,SQL,Good,Good,Excellent,Database,Hybrid,Database Administrator
Diploma CSE,92,HTML CSS JS,Excellent,Good,Excellent,Web Development,Office,Web Developer
Diploma CSE,86,HTML CSS JS,Good,Excellent,Good,Web Development,Hybrid,Web Developer
